FIX_CCTV_ADDR,LAT,LOT,CGG_CD,CRDN_BRNCH_NM,GRNDS_SE
종로구 숭인동 269,37.5733165256316,127.01737767547395,종로구,동묘앞역 3번출구 앞 주변,불법주정차구역
종로구 당주동 44-4,37.571580,126.974771,종로구,광화문역 8번출구(변호사회관) 주변,불법주정차구역
종로구 이화동 186-3,37.57687218065823,127.003360796499,종로구,서울사대부설초교(이화장길) 주변,불법주정차구역
종로구 관철동 11-14,37.56853491941028,126.98580982281378,종로구,장통교 1(젊은의 거리) 주변,불법주정차구역
종로구 신문로1가 238,37.57156673689304,126.97278301722166,종로구,신문로빌딩 주변,불법주정차구역
종로구 장사동 250-1,37.568587344428494,126.99255047009756,종로구,청계3가 관수교(청계천로) 주변　,불법주정차구역
종로구 예지동 137-1,37.568855505247727,126.99629149394633,종로구,청계4가 세운교(청계천로) 주변　,불법주정차구역
종로구 옥인동 산 3-1,37.5859537047415,126.964277654295,종로구,인왕산로 초소책방 주변,불법주정차구역
종로구 견지동 39-7,37.57449008628627,126.98272393377975,종로구,우정총국 조계사 주변,불법주정차구역
종로구 신문로2가 1-251,37.573470,126.968508,종로구,대한축구협회 사거리 주변,불법주정차구역
종로구 신교동 66,37.58389847202408,126.97020285491436,종로구,푸르메센터 주변,불법주정차구역
종로구 내수동 167,37.57308042211496,126.9728418963838,종로구,세종로대우빌딩 주변,불법주정차구역
종로구 명륜2가 134,37.58487527080688,126.99713700247726,종로구,성균관대정문(경학어린이공원) 주변,불법주정차구역
종로구 세종로 100,37.57265133291468,126.9783350523506,종로구,KT광화문지점(KT광화문빌딩) 주변,불법주정차구역
종로구 창신동 436-65,37.56996534716917,127.01335563306363,종로구,동대문 신발 도매 중심상가(청계천로) 주변,불법주정차구역
종로구 종로5가 398-16,37.57034901209676,127.00178991021583,종로구,광장시장 동문 주변 ,불법주정차구역
종로구 창신동 651-14,37.57339616506729,127.01060830323968,종로구,창신길 39 주변,불법주정차구역
종로구 원서동 181-5,37.578404,126.989143,종로구,현대다솜어린이집 주변,불법주정차구역
종로구 종로6가 289-3,37.56992530086606,127.00778924894213,종로구,동대문 종합시장 B동(청계천로) 주변,불법주정차구역
종로구 재동 83,37.57838273513028,126.98533248028279,종로구,헌법재판소 앞 주변,불법주정차구역
종로구 익선동 30-6,37.575488,126.989187,종로구,교동초교(삼일대로32길) 주변,불법주정차구역
종로구 관수동 165-1,37.56832802644032,126.98895379330033,종로구,전태일 기념관(청계천로) 주변,불법주정차구역
종로구 세종로 1-58,37.57656183773006,126.97938389864422,종로구,경복궁 주차장 입구 주변,불법주정차구역
종로구 소격동 56,37.580979077589994,126.98006195265233,종로구,삼청로(주한브라질대사관) 주변,불법주정차구역
종로구 청진동 246,37.57120089208616,126.97923256023384,종로구,광화문 D타워(청진공원) 주변,불법주정차구역
종로구 창신동 400-4,37.57051442090319,127.01744494210776,종로구,삼일아파트 4동(청계천로) 주변　,불법주정차구역
종로구 관철동 43-8,37.568814044252996,126.98435523237058,종로구,장통교 2(청계천로) 주변,불법주정차구역
종로구 관수동 124,37.56844756414928,126.99076769387283,종로구,수표교(청계천로) 주변,불법주정차구역
종로구 창신동 436-78,37.570070913847,127.011954235256,종로구,동대문 신발 도매상가 B동(청계천로) 주변,불법주정차구역
종로구 평창동 166,37.60682822288515,126.9683477165383,종로구,종로생명숲어린이집 주변,불법주정차구역
종로구 견지동 65-1,37.57299675158026,126.98316858839001,종로구,우정국로 46(더프리마호텔) 주변,불법주정차구역
종로구 종로5가 503-15,37.56986241951743,127.00402550311047,종로구,나래교(청계천로) 주변,불법주정차구역
종로구 인사동 179-2,37.57294759107515,126.98620801502108,종로구,인사동4길(가야옻칠공예) 주변,불법주정차구역
종로구 장사동 207-1,37.56868428912589,126.9941012097961,종로구,SC제일은행 장사동지점(청계천로) 주변,불법주정차구역
종로구 관철동 43-4,37.56953034205031,126.9844031902812,종로구,우정국로2길(화이트갤러리) 주변,불법주정차구역
종로구 세종로 76-14,37.57463354167246,126.9784448504396,종로구,의정부지 역사유적광장(역사박물관) 주변,불법주정차구역
종로구 충신동 136-16,37.57502957780987,127.00525403365225,종로구,충신시장입구(율곡로) 주변,불법주정차구역
종로구 궁정동 2-2,37.584548,126.972584,종로구,주한교황청대사관 주변,불법주정차구역
종로구 예지동 269-2,37.569533624786274,127.00006367200132,종로구,청계5가 광장시장(청계천로) 주변,불법주정차구역
종로구 청운동 89-12,37.586221444576864,126.97295600377907,종로구,청운실버센터 주변,불법주정차구역
종로구 부암동 333-8,37.59148820904383,126.96603304223619,종로구,인왕산로(자하손만두) 주변,불법주정차구역
종로구 원남동 96-9,37.575669375482974,126.99755054940336,종로구,원남동사거리 주변,불법주정차구역
